"name","price","rating","reviews"
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, Beast Mode & ASAP Charge Bluetooth","₹699","4.1","3,967"
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, Beast Mode & ASAP Charge Bluetooth","₹699","4.1","2,031"
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, Beast Mode & ASAP Charge Bluetooth","₹699","4.1","2,031"
"boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and upto 60 Hours Playback Bluetooth","₹999","4.2","47,034"
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 60 Hours Playback Bluetooth","₹999","4.2","32,956"
"boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and upto 60 Hours Playback Bluetooth","₹999","4.2","47,034"
"boAt Rockerz 109 with Dual Pairing, 40 HRS Playback & ASAP Charge Bluetooth","₹699","4.1","3,967"
"boAt Rockerz 255 Z Plus w/ AI ENx Tech, Spatial Audio, 50HRS Playback & Powerbuds Bluetooth","₹999","4.2","32,956"
"boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP Charge Bluetooth","₹799","4.1","25,305"
"boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP Charge Bluetooth","₹799","4.1","25,305"
"boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP Charge Bluetooth","₹799","4.1","25,305"
"boAt Rockerz 255 Pro+ with ASAP Charge & 60 HRS Playback Bluetooth","₹999","4.2","47,034"
"boAt Rockerz 255 Z Plus w/ AI ENx Tech, Spatial Audio, 50HRS Playback & Powerbuds Bluetooth","₹999","4.2","32,956"
"boAt Rockerz 255 Arc with ENx Technology, Quick Switch Button & 30 HRS Playback Bluetooth","₹999","4","2,181"
"boAt Rockerz 255 Pro+ with ASAP Charge & 60 HRS Playback Bluetooth","₹999","4.2","47,034"
"boAt Rockerz 255 Z Plus w/ AI ENx Tech, Spatial Audio, 50HRS Playback & Powerbuds Bluetooth","₹999","4.2","32,956"
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth","₹999","4","2,181"
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth","₹999","4","2,181"
"boAt Rockerz 255 Max with 60 Hours Playback, EQ Modes & Power Magnetic Earbuds Bluetooth","₹999","4","1,133"
"boAt Rockerz 255 Max with 60 Hours Playback, EQ Modes & Power Magnetic Earbuds Bluetooth","₹999","4","1,133"
"boAt Rockerz 235v2/238 with ASAP Charge and upto 8 Hours Playback Bluetooth","₹689","4.2","1,44,083"
"boAt Rockerz 260 with Beast Mode, ENx Tech and ASAP Charge Bluetooth","₹899","4.1","4,715"
"boAt Rockerz 255F Bluetooth","₹995","4.2","84,567"
"boAt Rockerz 260 with Beast Mode, ENx Tech and ASAP Charge Bluetooth","₹899","4.1","4,715"
